topic,rank,word,weight
0,1,bac_pro,0.04021079
0,2,pourvoir_rapidement,0.021389907
0,3,cap_bep,0.014714893
0,4,permettre_obligatoire,0.014635067
0,5,chez_particulier,0.014362901
0,6,savoir_lire,0.01183985
0,7,apporter_appui,0.008277093
0,8,redaction_rapport,0.0075474083
0,9,structure_metallique,0.007546505
0,10,maison_individuel,0.007087846
0,11,contrat_apprentissage,0.0066562747
0,12,regle_consigne,0.0065535945
0,13,debutant_accepter,0.006394538
0,14,lecture_plan,0.0063119708
0,15,sou_ensemble,0.00618878
0,16,lectur_plan,0.0060786367
0,17,regle_consigne_securite,0.005842228
0,18,delai_livraison,0.0056770057
0,19,ete_titulaire,0.0054860855
0,20,second_oeuvre,0.005418828
0,21,neuf_renovation,0.005371602
0,22,piece_rechange,0.0053384244
0,23,regle_securite,0.0049845097
0,24,utilisation_appareil,0.004598565
0,25,assistance_utilisateur,0.004539102
0,26,permettre_epanouir,0.0042667463
0,27,technicien_frigoriste,0.0042357272
0,28,chargement_dechargemer,0.004186723
0,29,travailler_lundi_vendredi,0.004038677
0,30,conseiller_clientel,0.0040109362
0,31,preparer_surface,0.0040049995
0,32,location_materiel,0.003989713
0,33,souhaiter_competencer_souhaitee,0.0039373906
0,34,compte_principale,0.0038485995
0,35,remise_etat,0.0037650096
0,36,electrique_electronique,0.0037400837
0,37,pourvoir_debut,0.0037055202
0,38,pose_menuiserie,0.0037010745
0,39,futur_talent,0.0036014428
0,40,etat_avancement,0.003578042
0,41,poser_element,0.0035092651
0,42,intervenez_aupre,0.0035015238
0,43,groupe_edf,0.0035011645
0,44,reparation_entretien,0.0034960767
0,45,devenir_expert,0.0034944937
0,46,espace_vente,0.0033393996
0,47,competence_souhaitee,0.0033204916
0,48,ordre_reparation,0.0032808846
0,49,installation_frigorifique,0.0032476832
0,50,parc_informatique,0.0032426622
1,1,expertise_comptable,0.01888566
1,2,expert_comptable,0.016621297
1,3,taille_humain,0.014757094
1,4,cabinet_expertise,0.014082061
1,5,cabinet_expertise_comptable,0.013641815
1,6,declaration_fiscal,0.012792094
1,7,administratif_financier,0.01111704
1,8,back_office,0.010750008
1,9,comptable_fiscal,0.010562162
1,10,commande_numeriqu,0.009803491
1,11,portefeuill_client,0.009008741
1,12,prendre_charge,0.008160766
1,13,rapprochement_bancaire,0.0079710055
1,14,sou_supervision,0.00793356
1,15,prise_decision,0.0074510286
1,16,tpe_pme,0.0072057447
1,17,comptabilite_fournisseur,0.00687704
1,18,offre_emploi,0.0066536334
1,19,accueil_telephonique,0.0064642266
1,20,suivre_avancement,0.0062431023
1,21,constituer_dossier,0.006155539
1,22,cabinet_comptable,0.0058231917
1,23,nombreux_avantage,0.005779229
1,24,liasse_fiscal,0.005387514
1,25,declaration_social,0.0053426493
1,26,ticket_restaurant,0.005314397
1,27,plus_precisement,0.0053125746
1,28,frais_general,0.0052033523
1,29,libre_service,0.0051648156
1,30,facture_fournisseur,0.005071222
1,31,lien_direct,0.004993372
1,32,declaration_tva,0.0049887844
1,33,plate_form,0.0049005384
1,34,secteur_dactivite,0.004690558
1,35,cloture_mensuel,0.0046008113
1,36,controle_visuel,0.004549245
1,37,reel_atout,0.004272153
1,38,bouygue_telecom,0.004086905
1,39,cle_main,0.0040228264
1,40,armoire_electrique,0.0039855707
1,41,definition_architecture,0.003895816
1,42,merci_contacter,0.0038454009
1,43,front_office,0.0038444293
1,44,compte_annuel,0.0038260694
1,45,frais_deplacement,0.0038035759
1,46,information_generale,0.0037998923
1,47,commissaire_compte,0.003763085
1,48,plus_specifiquement,0.003756483
1,49,pol_emploi,0.0037421004
1,50,banqu_assurance,0.0036562595
2,1,mettre_place,0.0486198
2,2,mise_place,0.026248509
2,3,systeme_information,0.022619639
2,4,mettre_oeuvre,0.017450323
2,5,plan_action,0.014320288
2,6,amelioration_continuer,0.013920871
2,7,mettre_uvre,0.01350408
2,8,base_donnee,0.013321286
2,9,mise_oeuvre,0.013052198
2,10,annonce_expiree,0.011173385
2,11,interne_externe,0.010912449
2,12,mise_uvre,0.010425112
2,13,force_proposition,0.009250588
2,14,formation_superieur,0.007815454
2,15,bon_pratique,0.0075533576
2,16,ecole_ingenieur,0.007427614
2,17,veille_technologique,0.007040916
2,18,chef_projet,0.006156395
2,19,transformation_digital,0.005622119
2,20,maitrise_anglais,0.0055860933
2,21,direction_general,0.0055150366
2,22,supply_chain,0.005489735
2,23,esprit_synthese,0.0050543593
2,24,nouveau_technologie,0.004972823
2,25,tableau_bord,0.004718486
2,26,ecole_commerce,0.004673818
2,27,aussi_bien,0.004648552
2,28,tre_bon,0.0046147746
2,29,action_correctif,0.004614066
2,30,anglais_courir,0.0046085585
2,31,big_dater,0.0045643337
2,32,non_conformite,0.0043862364
2,33,prendre_charge,0.0043481006
2,34,montee_competence,0.004335894
2,35,plus_particulieremer,0.004225791
2,36,bon_connaissance,0.0041729426
2,37,controleur_gestion,0.0041702315
2,38,savoir_faire,0.004152206
2,39,etre_force,0.0040020035
2,40,cas_echeer,0.0039864564
2,41,resolution_probleme,0.0039067823
2,42,assurer_suivi,0.0038590243
2,43,leader_mondial,0.0037283562
2,44,aujourd_hui,0.0036942698
2,45,niveau_anglais,0.0036012963
2,46,temps_reel,0.0035985985
2,47,etre_force_proposition,0.0035511912
2,48,cahier_charge,0.003493366
2,49,animer_reunion,0.003403701
2,50,appel_offre,0.0033931467
3,1,temps_partiel,0.026002042
3,2,vie_quotidien,0.01896235
3,3,garde_enfant,0.018523445
3,4,auxiliaire_vie,0.014609139
3,5,preparation_repas,0.012466176
3,6,personne_agee,0.0112705985
3,7,prendre_charge,0.009043124
3,8,regle_hygiene,0.007750441
3,9,famill_medecin,0.0074662715
3,10,prise_repas,0.007187383
3,11,lundi_jeudi,0.0070333267
3,12,personne_geste,0.0066786017
3,13,faire_choix,0.006612967
3,14,tout_long,0.0065604663
3,15,soin_hygiene,0.0061052353
3,16,petit_enfance,0.00609677
3,17,etat_sante,0.0060887057
3,18,regle_hygiene_proprete,0.0060153026
3,19,formalite_administratif,0.0056797625
3,20,bien_etre,0.0056171427
3,21,plan_epargne,0.0055441144
3,22,lundi_mardi,0.005535869
3,23,btp_localite,0.005398452
3,24,saint_gobain,0.0053197546
3,25,point_vente,0.005261171
3,26,corporel_confort,0.0051655057
3,27,corporel_confort_prevention,0.0050734584
3,28,interlocuteur_concerne,0.0050538885
3,29,realiser_soin_hygiene,0.0050502615
3,30,facon_continuer,0.004971901
3,31,menage_repassage,0.004923043
3,32,rendre_compte,0.0049229567
3,33,personne_course,0.004816895
3,34,etat_sante_personne,0.004780903
3,35,suivi_personnalis,0.0047445497
3,36,accompagner_personne_geste,0.0047258376
3,37,activite_eveil,0.0047019194
3,38,controler_fonctionnement,0.0046474016
3,39,preparation_repas_formalite_administratif,0.0046332665
3,40,realiser_personne_course,0.0046332665
3,41,depressif_informer,0.004626786
3,42,comportement_etat,0.004615018
3,43,relever_modification,0.004613639
3,44,relever_modification_comportement_etat,0.004613639
3,45,depressif_informer_interlocuteur_concerne,0.004600492
3,46,entretien_linge,0.0045756623
3,47,savoir_faire,0.0045296503
3,48,jeudi_vendredi,0.0044699605
3,49,aide_lever,0.0044556595
3,50,materiau_construction,0.0044509815
4,1,matiere_premiere,0.020723099
4,2,maitrise_ouvrage,0.012559055
4,3,negocier_selon,0.010957043
4,4,idealement_acquérir,0.009395127
4,5,contrat_cdi,0.009124138
4,6,prendre_initiative,0.008410115
4,7,dot_bon,0.008322549
4,8,different_intervenant,0.008155071
4,9,note_frais,0.008072737
4,10,directeur_general,0.006486185
4,11,ordre_fabrication,0.0062958417
4,12,vendre_produit,0.0060906615
4,13,agent_maitrise,0.006022625
4,14,etude_faisabilite,0.005822952
4,15,preparateur_pharmacie,0.00551652
4,16,redaction_cahier,0.0054447893
4,17,reglage_machine,0.0052950312
4,18,accompagner_gratuitement,0.0052540936
4,19,veille_reglementair,0.005253099
4,20,ameliorer_performance,0.005235623
4,21,geste_barriere,0.005208116
4,22,produit_fini,0.0052028745
4,23,brut_annuel,0.005110747
4,24,temps_plein,0.0050806366
4,25,opportunite_carriere,0.0049434686
4,26,base_donnee,0.004845794
4,27,mission_principal,0.004760705
4,28,salair_fixe,0.0046987874
4,29,industrie_agroalimentaire,0.0045001735
4,30,eau_potable,0.004399048
4,31,rediger_documentation,0.0043774648
4,32,open_source,0.004356402
4,33,experience_minimum,0.004310584
4,34,constitution_dossier,0.0042699263
4,35,point_vent,0.0040774937
4,36,pro_actif,0.0040580668
4,37,application_web,0.004024053
4,38,capital_argent,0.0038682772
4,39,mise_route,0.003808022
4,40,traval_neuf,0.0037778292
4,41,elaboration_bilan,0.0037448073
4,42,remuneration_brut,0.0036845298
4,43,promotion_immobilier,0.0036342847
4,44,dot_bon_relationnel,0.003460058
4,45,vie_prive,0.0034150304
4,46,web_mobile,0.0034066995
4,47,afin_favoriser,0.0033996003
4,48,circulation_information,0.0032590823
4,49,specialis_recrutement,0.0030855325
4,50,conseil_associer,0.0030089181
5,1,savoir_faire,0.018714858
5,2,bureau_etude,0.017737355
5,3,taille_humain,0.016025716
5,4,ete_garer,0.010346094
5,5,sou_traitant,0.009859145
5,6,prendre_charge,0.009614044
5,7,premier_experience,0.009405776
5,8,renforcer_equipe,0.009290701
5,9,acteur_majeur,0.008595629
5,10,cahier_charge,0.008586109
5,11,aujourd_hui,0.008453523
5,12,souhaiter_integrer,0.007627597
5,13,excellent_relationnel,0.007526374
5,14,satisfaction_client,0.0067786924
5,15,faire_difference,0.006737031
5,16,rattache_responsable,0.0065927203
5,17,chaque_jour,0.0062708072
5,18,appel_offre,0.006148703
5,19,rattache_directeur,0.005970764
5,20,ile_france,0.005813776
5,21,cabinet_conseil,0.0058095446
5,22,technico_commercial,0.005171986
5,23,sou_responsabilite,0.005158906
5,24,ete_passionn,0.0051520667
5,25,justifier_experience,0.0051347855
5,26,profil_recherche,0.0050795386
5,27,developper_portefeuille,0.005005076
5,28,pleine_croissance,0.004949977
5,29,analyser_besoin,0.0049256408
5,30,conducteur_travail,0.0048739035
5,31,cadre_developpement,0.0048730834
5,32,ete_garant,0.004859849
5,33,atteindre_objectif,0.0048029413
5,34,situation_handicap,0.004802448
5,35,charge_affaire,0.004628432
5,36,experience_reussie,0.004620785
5,37,genie_civil,0.0044355914
5,38,integre_sein,0.004435515
5,39,assurer_suivi,0.0044095847
5,40,alors_rejoindre,0.0043747677
5,41,cabinet_recrutement,0.004368837
5,42,atout_reussir,0.0043336195
5,43,souhaiter_investir,0.0043159067
5,44,fort_croissance,0.004288264
5,45,reporting_regulier,0.004063038
5,46,formation_superieur,0.0039141555
5,47,grand_compte,0.0038545267
5,48,professionnel_spring,0.003838243
5,49,qualite_relationnelle,0.003754814
5,50,portefeuill_client,0.0037451787
6,1,temps_plein,0.03267791
6,2,prendre_charge,0.023770995
6,3,cabinet_recrutement,0.02165003
6,4,centre_hospitalier,0.021205617
6,5,cabinet_expertise,0.01724238
6,6,recherch_client,0.016499689
6,7,formation_superieur,0.015212069
6,8,description_poste,0.013395143
6,9,pourvoir_possible,0.012041511
6,10,pouvoir_evoluer,0.011454881
6,11,pourvoir_immediatement,0.011448553
6,12,avoir_pourvoir_immediatement,0.011448553
6,13,expert_comptable,0.011422811
6,14,sou_responsabilite,0.010802141
6,15,plateau_technique,0.009723978
6,16,lit_place,0.009308926
6,17,remonter_information,0.008650089
6,18,expertise_comptable,0.008542486
6,19,ordre_medecin,0.00838125
6,20,pourvoir_possible_remuneration,0.007669631
6,21,debuter_accepter,0.0072203083
6,22,revision_compte,0.0070761563
6,23,date_prise,0.007041489
6,24,total_autonomie,0.0068601025
6,25,etablissement_bilan,0.0068484093
6,26,cabinet_recrutement_specialise,0.0066570356
6,27,savoir_faire,0.0066497335
6,28,moyen_terme,0.0066160057
6,29,kolibri_consulting,0.0066150366
6,30,appel_telephonique,0.0065669394
6,31,garantir_proposition,0.006494472
6,32,cibleer_rapidement,0.006485083
6,33,negocier_typ_emploi,0.0064833025
6,34,negocier_typ,0.0064833025
6,35,cdi_kolibri,0.0064805783
6,36,cdi_kolibri_consulting,0.0064805783
6,37,recherch_client_cabinet_expertise,0.006425586
6,38,ainsi_total,0.006396845
6,39,description_poste_kolibri_consulting,0.0063649127
6,40,expertise_comptable_garantir_proposition,0.0063508507
6,41,cibleer_rapidement_ainsi_total,0.0063508507
6,42,reconnaître_rigueur,0.006325394
6,43,interesse_contacter,0.006229604
6,44,profil_recherche,0.006074071
6,45,rediger_specification,0.006006211
6,46,souhaiter_evoluer,0.0060001505
6,47,banc_test,0.005854258
6,48,soin_suite,0.0051117316
6,49,cabinet_expertise_comptable,0.005002908
6,50,disposer_experience_significatif,0.0048984443
7,1,prise_charge,0.04813812
7,2,soin_infirmier,0.01956153
7,3,equipe_pluridisciplinaire,0.016616043
7,4,diplome_etat,0.01591638
7,5,aide_soigner,0.013806383
7,6,medico_social,0.012463197
7,7,etat_clinique,0.012171007
7,8,equipe_soignant,0.009260847
7,9,personne_agee,0.00868051
7,10,dispositif_medical,0.008482242
7,11,cadre_sante,0.008270186
7,12,temps_plein,0.008111633
7,13,aide_soignant,0.006915908
7,14,soin_hygiene,0.0068790736
7,15,adecco_medical,0.006780272
7,16,medecin_generalist,0.0066099036
7,17,assurer_continuite,0.006539599
7,18,bloc_operatoir,0.0063590584
7,19,titulaire_diplome,0.006048542
7,20,etat_sante,0.0058343606
7,21,medical_paramedical,0.005230399
7,22,mise_uvre,0.0048980573
7,23,prevention_risque,0.004674233
7,24,selon_besoin,0.0043748324
7,25,maison_retraite,0.004146587
7,26,unite_soin,0.003981951
7,27,qualite_professionnel,0.003919328
7,28,mise_oeuvre,0.0038770798
7,29,surveiller_etat,0.0038505124
7,30,bien_etre,0.003731996
7,31,soin_palliatif,0.0037313085
7,32,information_recueillir,0.0037312966
7,33,actualiser_dossier,0.0036748678
7,34,week_end,0.003672927
7,35,sou_responsabilite,0.0036531761
7,36,chauffeur_livreur,0.003615336
7,37,informer_equipe_soignant,0.0035919363
7,38,medecin_coordonnateur,0.0035394726
7,39,mettre_uvre,0.0035327538
7,40,continuite_soin,0.003523088
7,41,communiquer_patient,0.003488846
7,42,clinique_patient,0.0033654838
7,43,post_operatoire,0.0033144683
7,44,collaborateur_interimaire,0.0032880553
7,45,cours_particulier,0.003235121
7,46,prise_charge_patient,0.003179751
7,47,faire_partie,0.003140825
7,48,temps_complet,0.0031141518
7,49,ressentir_douleur,0.0030518011
7,50,ressentir_douleur_actualiser_dossier,0.0030496097
8,1,transmettre_information,0.023101322
8,2,respecter_regle,0.02208835
8,3,realiser_tache,0.021102684
8,4,respecter_engagement,0.019834638
8,5,etre_ponctuel,0.019656809
8,6,procedure_instruction,0.019641196
8,7,procedure_instruction_fourni,0.019220158
8,8,transmettre_information_exactitude_exemple,0.019219998
8,9,code_entreprise,0.019219998
8,10,etre_ponctuel_respecter_engagement,0.019219998
8,11,exactitude_exemple,0.019219998
8,12,realiser_tache_suivre_precision,0.019219998
8,13,respecter_regle_code_entreprise,0.019219998
8,14,suivre_precision,0.019219998
8,15,qualite_professionnel,0.014166759
8,16,qualite_professionnel_capacite,0.0138143115
8,17,devoir_etre,0.013494439
8,18,prendre_charge,0.013485742
8,19,travailler_efficacement,0.012363686
8,20,activite_sans,0.012173179
8,21,encadrer_facon,0.012129943
8,22,devoir_etre_encadrer_facon,0.01212939
8,23,prendre_charge_activite_sans,0.01212939
8,24,continuer_exemple,0.012128847
8,25,distraction_capacite,0.012124448
8,26,continuer_exemple_travailler_efficacement,0.012103666
8,27,sans_responsable,0.012055561
8,28,faire_preuve,0.01003939
8,29,fonction_degre,0.0097972
8,30,reagir_rapidement,0.009754396
8,31,reagir_rapidement_face,0.009618675
8,32,urgence_importance,0.009589214
8,33,avoir_imprevu_hierarchiser,0.0095868725
8,34,imprevu_hierarchiser,0.0095868725
8,35,action_fonction_degre,0.0095868725
8,36,urgence_importance_exemple,0.009586711
8,37,energie_comprendre,0.009586711
8,38,dynamisme_vivacite,0.009586711
8,39,faire_preuve_dynamisme_vivacite,0.009586711
8,40,sans_responsable_capacit,0.009373417
8,41,priorite_capacite,0.009064417
8,42,ordonner_action_priorite_capacite,0.008849
8,43,tenant_compte,0.008700891
8,44,competencer_souhaitee,0.008356492
8,45,moyen_ressource,0.0077308677
8,46,anticiper_action,0.0074753743
8,47,anticiper_action_tenant_compte,0.0074679977
8,48,objectif_calendrier,0.0074679977
8,49,moyen_ressource_objectif_calendrier,0.0074679977
8,50,exemple_planifier,0.0074673123
9,1,entreprise_confiance,0.027014013
9,2,competence_souhaitee,0.018770494
9,3,qualite_professionnel,0.016743392
9,4,valeur_propre,0.016108243
9,5,qualite_professionnel_capacite,0.01588522
9,6,objectif_fixe,0.015458334
9,7,coordonner_autre,0.013584974
9,8,demander_aide,0.013566491
9,9,collegue_savoir,0.0135096945
9,10,coordonner_autre_sein,0.01350049
9,11,exemple_aider,0.01350049
9,12,exemple_aider_collegue_savoir,0.01350049
9,13,transparence_realiser_objectif_fixe,0.01350049
9,14,transparence_realiser,0.01350049
9,15,demander_aide_capacite,0.013163171
9,16,prendre_charge,0.012786927
9,17,devoir_etre,0.011923109
9,18,competencer_souhaitee,0.011352162
9,19,sans_responsable,0.010587709
9,20,competence_obligatoire,0.010556014
9,21,travailler_efficacement,0.010425499
9,22,prendre_charge_activite_sans,0.010411377
9,23,devoir_etre_encadrer_facon,0.010411377
9,24,encadrer_facon,0.010410955
9,25,continuer_exemple_travailler_efficacement,0.010399605
9,26,activite_sans,0.0103981625
9,27,continuer_exemple,0.010395404
9,28,faire_preuve,0.010167725
9,29,commentaire_formation,0.009700963
9,30,formation_souhaiteer,0.008602257
9,31,avoir_faire_preuve,0.008409343
9,32,organisation_collectif,0.00813349
9,33,situation_variees,0.008092574
9,34,situation_imprevu,0.008072526
9,35,avoir_situation_variees,0.008069059
9,36,agile_adapter,0.00806529
9,37,etre_souple,0.008061335
9,38,organisation_collectif_travail_habitude,0.00805381
9,39,etre_souple_agile_adapter,0.00805381
9,40,entreprise_exempl,0.00805381
9,41,avoir_entreprise_exempl,0.00805381
9,42,travail_habitude,0.00805381
9,43,situation_imprevu_capacite,0.0080350945
9,44,exemple_etre,0.007966543
9,45,ouverture_esprit,0.007692061
9,46,vehicule_leger,0.007661524
9,47,etre_attentif,0.0075823753
9,48,moyen_ressource,0.0075427247
9,49,tenant_compte,0.0073495475
9,50,ordonner_action,0.007317478
10,1,description_poste,0.16487624
10,2,temps_plein,0.018063955
10,3,respect_regle,0.01524834
10,4,pourvoir_possible,0.015104328
10,5,lundi_vendredi,0.014630476
10,6,gestion_stock,0.014349414
10,7,devoir_etre,0.0128139155
10,8,selon_profil,0.012479485
10,9,hygiene_securite,0.012216273
10,10,horaire_journee,0.012161215
10,11,sou_responsabilite,0.011581424
10,12,regle_securite,0.011313466
10,13,preparation_commande,0.010736207
10,14,mission_consister,0.009855471
10,15,bon_fonctionnement,0.009629349
10,16,description_profil,0.009228976
10,17,description_poste_mission,0.008710114
10,18,respect_norme,0.0086831255
10,19,lecture_plan,0.007885505
10,20,cdd_cdi,0.006991851
10,21,principal_mission,0.0069398973
10,22,description_poste_rechercher,0.006648695
10,23,long_terme,0.006449766
10,24,respecter_regle,0.006006847
10,25,mise_place,0.0059931134
10,26,ete_titulaire,0.0059170322
10,27,consigne_securite,0.0058343364
10,28,sou_autorite,0.00548898
10,29,premier_experience,0.0054284967
10,30,mission_principal,0.005349543
10,31,veiller_respect,0.0052331774
10,32,remuneration_selon,0.005208552
10,33,port_charge,0.0051885676
10,34,description_poste_agence,0.005012246
10,35,salair_selon,0.0049295686
10,36,information_complementaire,0.004845368
10,37,temps_complet,0.004670568
10,38,interim_temps_plein,0.004507818
10,39,secteur_btp,0.004400322
10,40,bon_tenue,0.0043926057
10,41,bon_deroulement,0.004339928
10,42,etre_amen,0.0040174467
10,43,lundi_samedi,0.004014007
10,44,prise_poste,0.0038085964
10,45,contrat_cdi,0.0037669423
10,46,fiche_technique,0.003721598
10,47,preparateur_commande,0.0036403663
10,48,recrutement_interim,0.0035966437
10,49,week_end,0.0035561337
10,50,appliquer_regle,0.0035212685
11,1,personne_situation,0.039285254
11,2,cadre_politique,0.031266674
11,3,competence_egale,0.028462028
11,4,avoir_competence_egale,0.028330214
11,5,tout_candidature,0.027799109
11,6,personne_situation_handicap,0.025355605
11,7,tout_candidature_dont_celle,0.022552354
11,8,dont_celle,0.022552354
11,9,diversit_manpower,0.019258471
11,10,cadre_politique_diversit_manpower,0.019083664
11,11,grand_ouest,0.012798116
11,12,cdd_cdi,0.011844429
11,13,idealement_premier,0.009956462
11,14,moins_annee,0.009875719
11,15,cabinet_recrutement,0.009470303
11,16,description_poste_manpower,0.00911039
11,17,temps_partiel,0.008205414
11,18,remuneration_brut,0.007924756
11,19,offrir_opportunite,0.0076042693
11,20,pme_grand,0.007563891
11,21,gestion_locatif,0.007413729
11,22,egalement_amen,0.0071909493
11,23,mois_prime,0.0071055656
11,24,interim_cdd_cdi,0.0065393047
11,25,fait_confiance,0.006112354
11,26,interim_cdd,0.0058777733
11,27,cace_nacell,0.0056855036
11,28,plus_ethiqu,0.005573814
11,29,dessinateur_projeteur,0.005457199
11,30,rattach_responsable,0.0054073418
11,31,passer_commande,0.004923404
11,32,annee_scolaire,0.0048791007
11,33,profil_recherche,0.0045984485
11,34,ete_titulaire,0.0045387316
11,35,norme_vigueur,0.004424541
11,36,entretien_preventif,0.0043922747
11,37,chaque_anne,0.003899679
11,38,titulaire_bac,0.0038463853
11,39,agence_rue,0.003792577
11,40,dassault_systeme,0.0036967534
11,41,baby_sitting,0.0035781309
11,42,ingenieur_master,0.003560838
11,43,toujours_plus,0.0035209244
11,44,electricien_batiment,0.0035146193
11,45,hydraulique_pneumatique,0.0034880254
11,46,conception_fabrication,0.0034493152
11,47,rattach_directeur,0.0034381885
11,48,prestataire_externe,0.0034300184
11,49,industrie_tertiaire,0.0034241655
11,50,present_marche,0.0033334834
12,1,transport_logistique,0.024850748
12,2,respect_reglementation,0.010042548
12,3,meme_type,0.00896213
12,4,intervenir_principalement,0.008721665
12,5,jour_documentation,0.008525627
12,6,appel_offrir,0.008279913
12,7,faire_progresser,0.0079498775
12,8,image_marque,0.007329886
12,9,geni_civil,0.007237113
12,10,responsable_hierarchiqu,0.0071570664
12,11,juridique_fiscal,0.006257134
12,12,apporter_conseil,0.00621311
12,13,appel_entrant,0.005918217
12,14,principe_relation,0.0058618635
12,15,titulaire_cap,0.0058101136
12,16,envier_investir,0.005730756
12,17,bulletin_paie,0.0056970837
12,18,banque_assurance,0.005661475
12,19,egalement_ouvert,0.0054331725
12,20,gros_uvre,0.0051336093
12,21,repondre_besoin,0.0050064325
12,22,annonce_expiree,0.004964002
12,23,element_variable,0.0047748033
12,24,appel_sortant,0.0047684773
12,25,cadre_renforcement,0.004701666
12,26,sncf_logistic,0.0044702697
12,27,parmi_plus,0.0044004144
12,28,vision_strategiqu,0.004377232
12,29,partager_meme,0.0043286537
12,30,mettre_place,0.004285464
12,31,outil_performant,0.004229468
